公司代號,公司名稱,董事會決議日期,買回目的,買回股份總金額上限(依最新財報計算之法定上限),預定買回股數,買回價格區間最低,買回價格區間最高,預定買回期間起,預定買回期間迄,是否執行完畢,本次已買回股數(空白為尚在執行中),本次執行完畢已註銷或轉讓股數,本次已買回股數佔預定買回股數比例(%)(空白為尚在執行中),本次已買回總金額(空白為尚在執行中),本次平均每股買回價格(空白為尚在執行中),本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中),本次未執行完畢之原因
2702,華園,92/05/02,1,10820305.0,400000.0,5.0,11.30,2003-05-05,2003-07-04,Y,216000.0,216000.0,54.0,1377306.0,6.38,0.34,"因本公司預定買回期間之股價尚屬穩定,且股價已回升20%,故本公司?"
2421,建準,92/05/05,3,568105628.0,5000000.0,10.99,22.58,2003-05-06,2003-07-04,Y,1443000.0,1443000.0,28.86,23842505.0,16.52,0.8,市場價格波動未如預期
2321,東訊,92/05/06,3,390286973.0,10000000.0,10.0,15.00,2003-05-07,2003-07-06,Y,4289000.0,4289000.0,42.89,49455700.0,11.53,1.47,"考量買回期間股價維持穩定, 並顧及本公司股東權益"
3046,建碁,92/05/08,1,2255066377.0,3000000.0,28.0,58.00,2003-05-09,2003-07-08,Y,3000000.0,3000000.0,100.0,116109291.0,38.70,1.21,
9929,秋雨,92/05/12,1,110985000.0,3000000.0,7.5,11.00,2003-05-13,2003-07-12,Y,3000000.0,3000000.0,100.0,24459541.0,8.15,2.01,
2313,華通,92/05/13,1,5163124000.0,10000000.0,8.65,22.20,2003-05-14,2003-07-13,Y,5911000.0,5911000.0,59.11,81696550.0,13.82,0.68,考量買回期間股價維持穩定，並為顧及公司股東權益及員工未來認股
6141,柏承,92/05/14,1,128721927.0,500000.0,38.0,62.00,2003-05-15,2003-07-14,Y,14000.0,14000.0,2.8,585232.0,41.80,0.03,考量買回期間股價呈現穩定趨勢，致未能全數執行完畢。
2397,友通,92/05/16,3,1479125000.0,5000000.0,11.0,23.00,2003-05-19,2003-07-18,Y,2000000.0,2000000.0,40.0,38384050.0,19.19,1.7,執行期間交易量不足，致屆滿未執行完畢。
2107,厚生,92/05/19,3,382638431.0,15000000.0,6.0,11.00,2003-05-20,2003-07-19,Y,1097000.0,1097000.0,7.31,8386274.0,7.64,0.28,目前集中交易市場已擺脫SARS陰霾，本公司股價亦趨於穩定，足以維
2353,宏碁,92/05/19,3,16323758000.0,60000000.0,22.4,49.10,2003-05-20,2003-07-19,Y,60000000.0,60000000.0,100.0,2510351057.0,41.84,3.16,
2206,三陽工業,92/05/20,1,889952.0,40000000.0,4.0,8.73,2003-05-21,2003-07-20,Y,21203000.0,21203000.0,53.01,123870864.0,5.84,2.63,考量買回期間股價維持穩定，為顧及員工未來認股意願，故未全數執
1229,聯華,92/05/22,1,2019301000.0,3000000.0,6.5,8.00,2003-05-23,2003-07-22,Y,970000.0,970000.0,32.33,7533328.0,7.77,0.15,預定買回期間，僅7個交易日落在買回區間價格；另股價自六月上旬?
1439,中和,92/05/22,3,53442231.0,6540000.0,5.42,10.00,2003-05-23,2003-07-22,Y,6000000.0,6000000.0,91.74,52936750.0,8.82,5.53,
2316,楠梓電,92/05/23,1,2158285897.0,10000000.0,10.04,15.36,2003-05-26,2003-07-25,Y,2470000.0,2470000.0,24.7,33477222.0,13.55,0.58,考量買回期間股價維持穩定，且顧及本公司股東權益及員工未來認股
1452,宏益,92/05/27,3,96259398.0,12000000.0,3.8,7.80,2003-05-29,2003-07-28,Y,12000000.0,12000000.0,100.0,73319201.0,6.11,6.34,
2885,元大金,92/05/27,1,8406449543.0,30000000.0,6.65,14.35,2003-05-28,2003-07-25,Y,4500000.0,4500000.0,15.0,44853302.0,9.97,0.16,"考量買回期間價格穩定,並為顧及本公司股東權益,故未全部執行完畢"
1437,勤益控,92/05/28,1,230092606.0,1726000.0,6.02,11.00,2003-05-29,2003-07-28,Y,817000.0,817000.0,47.33,7912506.0,9.68,0.52,價格超過本公司預定買回區間價格
2390,云辰,92/05/28,3,864711120.0,5000000.0,10.0,12.80,2003-05-29,2003-07-28,Y,3254000.0,3254000.0,65.08,38890777.0,11.95,1.02,茲因買回期間本公司之股價高於原預定買回區間價格，故未能在買回
3004,豐達科,92/05/29,3,938057000.0,6900000.0,15.4,31.86,2003-05-30,2003-07-29,Y,100000.0,100000.0,1.45,2530000.0,25.30,0.14,"買回期間股價穩定上揚, 並為顧及股東最大權益"
9929,秋雨,92/06/03,1,110985000.0,5000000.0,8.0,9.60,2003-06-05,2003-08-04,Y,2524000.0,2524000.0,50.48,21322451.0,8.45,1.69,"茲因買回期間本公司之股價已逐漸維持穩定,為顧及本公司長期資金?"
1457,宜進,92/06/16,3,195691872.0,20000000.0,5.0,7.50,2003-06-17,2003-08-16,Y,7000000.0,7000000.0,35.0,43024226.0,6.15,1.88,"考慮執行期間股價大幅回升,為維護股東權益"
2905,三商,92/06/24,3,1277238000.0,10000000.0,7.0,12.00,2003-06-26,2003-08-25,Y,10000000.0,10000000.0,100.0,100004901.0,10.00,1.82,
1540,喬福,92/06/25,3,92131000.0,3000000.0,8.65,19.07,2003-06-30,2003-08-25,Y,0.0,,0.0,0.0,0.00,0.0,
2816,旺旺保,92/06/30,1,1423650000.0,1800000.0,12.0,20.00,2003-07-01,2003-08-29,Y,507000.0,507000.0,28.17,6809915.0,13.43,0.09,"市場低迷、成交量少及遇本公司除權公告之影響,致未能執行完畢。"
2823,中壽,92/06/30,1,994437040.0,30000000.0,6.06,13.34,2003-07-01,2003-08-31,Y,600000.0,600000.0,2.0,5795974.0,9.66,0.09,執行期間因股價上下波動、限時、限價掛進買單致未按預計數量全數
1909,榮成,92/07/10,1,909542353.0,4000000.0,3.78,10.00,2003-07-11,2003-09-10,Y,4000000.0,4000000.0,100.0,22758626.0,5.69,0.78,
3027,盛達,92/07/11,1,401635960.0,1600000.0,18.0,27.80,2003-07-14,2003-09-13,Y,1600000.0,1600000.0,100.0,36775300.0,22.98,2.22,
2908,特力,92/07/24,1,1262132268.0,10000000.0,15.0,18.00,2003-07-28,2003-09-27,Y,10000000.0,10000000.0,100.0,160781386.0,16.08,2.87,
2458,義隆,92/08/05,1,780713000.0,6000000.0,22.0,45.00,2003-08-06,2003-10-05,Y,6000000.0,6000000.0,100.0,177736619.0,29.62,1.81,
2344,華邦電,92/08/12,1,16126103000.0,10000000.0,18.0,21.00,2003-08-13,2003-10-12,Y,10000000.0,10000000.0,100.0,194404915.0,19.44,0.23,
2327,國巨,92/08/18,1,11830776207.0,30000000.0,9.0,16.98,2003-08-19,2003-10-17,Y,30000000.0,30000000.0,100.0,410524950.0,13.68,1.33,
2885,元大金,92/08/19,1,9058066314.0,20000000.0,7.0,15.50,2003-08-20,2003-10-17,Y,2800000.0,2800000.0,14.0,28925881.0,10.33,0.1,考量買回期間股價穩定並為顧及本公司股東權益，故未全部執行完畢
1423,利華,92/08/21,1,229980104.0,8965000.0,5.42,11.42,2003-08-22,2003-10-20,Y,0.0,,0.0,0.0,0.00,0.0,考量買回期間集中交易市場變動較預期穩定，致未能執行。
2852,第一保,92/08/27,1,223220839.0,3000000.0,8.0,12.00,2003-08-28,2003-10-27,Y,3000000.0,3000000.0,100.0,30769227.0,10.26,1.43,
2427,三商電,92/08/28,1,1018574143.0,8000000.0,10.3,24.30,2003-08-29,2003-10-28,Y,8000000.0,8000000.0,100.0,135956802.0,16.99,3.84,
2390,云辰,92/08/29,3,719675095.0,5000000.0,11.0,14.00,2003-09-01,2003-10-31,Y,5000000.0,5000000.0,100.0,58183791.0,11.64,1.57,
2816,旺旺保,92/08/29,1,878012000.0,3000000.0,10.0,18.00,2003-09-01,2003-10-31,Y,3000000.0,3000000.0,100.0,36316228.0,12.11,0.52,
3046,建碁,92/08/29,1,2284875608.0,3000000.0,28.0,56.00,2003-09-01,2003-10-31,Y,3000000.0,3000000.0,100.0,92847392.0,30.95,1.07,
1439,中和,92/09/01,3,54566456.0,177000.0,6.44,12.00,2003-09-02,2003-11-01,Y,827000.0,827000.0,467.23,7549890.0,9.13,0.76,
1733,五鼎,92/09/03,1,96207000.0,2000000.0,30.0,48.00,2003-09-04,2003-11-03,Y,51000.0,51000.0,2.55,1697200.0,33.28,0.08,因買回期間公司股價穩定，為顧及本公司股東權益
2405,浩鑫,92/09/08,1,1085361000.0,10000000.0,38.0,52.00,2003-09-09,2003-11-08,Y,6600000.0,6600000.0,66.0,283027299.0,42.88,4.82,成交量不足、價格不理想
5533,皇鼎,92/09/10,3,564066715.0,5000000.0,3.5,9.45,2003-09-15,2003-11-14,Y,800000.0,800000.0,16.0,5262890.0,6.58,0.69,買回期間本公司股價己逐漸維持穩定，為顧及本公司長期資金之規劃
2388,威盛,92/09/15,1,8158535000.0,15000000.0,33.6,75.70,2003-09-16,2003-11-15,Y,7991000.0,7991000.0,53.27,406605847.0,50.88,0.63,"因執行期間股價維持穩定,故未予全部執行完畢"
3046,建碁,92/09/15,1,2284875608.0,3000000.0,28.0,52.00,2003-09-16,2003-11-15,Y,3000000.0,3000000.0,100.0,91328325.0,30.44,1.07,
6192,巨路,92/09/15,1,594641000.0,3000000.0,33.6,87.00,2003-09-16,2003-11-15,Y,90000.0,90000.0,3.0,4441000.0,49.34,0.12,執行期間股維持穩暨考量本公司股東權益
2338,光罩,92/09/24,1,1025184000.0,10000000.0,15.0,20.00,2003-09-25,2003-11-24,Y,10000000.0,10000000.0,100.0,178112835.0,17.81,2.5,
2493,揚博,92/09/30,3,514179910.0,5000000.0,8.8,15.60,2003-10-01,2003-11-30,Y,5000000.0,5000000.0,100.0,58323056.0,11.66,4.94,
2379,瑞昱,92/10/03,2,10278984994.0,12931000.0,51.0,110.50,2003-10-06,2003-12-05,Y,4325000.0,4325000.0,33.45,273070000.0,63.14,0.66,為免影響市場價格，本公司採取每日定量定價分批買回，因股票價格
2457,飛宏,92/10/03,1,1690046000.0,10000000.0,15.0,24.50,2003-10-06,2003-12-05,Y,10000000.0,10000000.0,100.0,198347364.0,19.83,3.42,
2886,兆豐金,92/10/03,3,61370564000.0,250000000.0,16.0,20.00,2003-10-04,2003-12-03,Y,31442000.0,31442000.0,12.58,619435511.0,19.70,0.28,"因執行期間股價維持穩定,故未全部執行完畢"
2323,中環,92/10/09,1,16803339000.0,20000000.0,23.0,27.00,2003-10-13,2003-12-12,Y,20000000.0,20000000.0,100.0,522273213.0,26.11,0.77,
1216,統一,92/10/13,3,6125774000.0,100000000.0,10.0,14.00,2003-10-14,2003-12-13,Y,19713000.0,19713000.0,19.71,261119600.0,13.25,0.58,
2353,宏碁,92/10/13,3,14786530000.0,40000000.0,40.0,52.00,2003-10-14,2003-12-13,Y,40000000.0,40000000.0,100.0,2010649006.0,50.27,1.89,
1229,聯華,92/10/15,1,1976881000.0,3000000.0,8.0,10.00,2003-10-16,2003-12-15,Y,3000000.0,3000000.0,100.0,28828105.0,9.61,0.45,
3023,信邦,92/10/16,1,556342142.0,7000000.0,28.0,45.00,2003-10-20,2003-12-19,Y,7000000.0,7000000.0,100.0,235471053.0,33.64,6.98,
2816,旺旺保,92/10/22,1,878012000.0,2000000.0,10.0,17.00,2003-10-23,2003-12-22,Y,2000000.0,2000000.0,100.0,23039912.0,11.52,0.35,
1109,信大,92/10/24,3,1234414800.0,15000000.0,7.0,11.50,2003-10-27,2003-12-26,Y,4122000.0,4122000.0,27.48,35617812.0,8.64,0.98,買回期間股價波動，考量庫藏股買回成本及維護股東權益。
2360,致茂,92/10/24,3,1224963000.0,20000000.0,15.4,28.60,2003-10-27,2003-12-26,Y,20000000.0,20000000.0,100.0,453058779.0,22.65,7.35,
2332,友訊,92/10/28,1,4623419000.0,12000000.0,30.0,40.00,2003-10-29,2003-12-28,Y,12000000.0,12000000.0,100.0,448110176.0,37.34,2.4,
3046,建碁,92/10/29,1,2369842621.0,3500000.0,26.0,45.00,2003-10-30,2003-12-29,Y,3500000.0,3500000.0,100.0,102274897.0,29.22,1.25,
2458,義隆,92/10/31,1,1093736000.0,10000000.0,22.0,45.00,2003-11-01,2003-12-31,Y,9970000.0,9970000.0,99.7,304863285.0,30.58,2.97,掛單買進但未完全成交
2395,研華,92/11/03,3,2238644000.0,10000000.0,50.0,60.00,2003-11-04,2004-01-03,Y,3862000.0,3862000.0,38.62,210899150.0,54.61,1.13,"買回期間股價穩定,並顧及股東權益."
1439,中和,92/11/05,3,52621528.0,4713000.0,6.51,12.00,2003-11-06,2004-01-05,Y,4713000.0,4713000.0,100.0,44742262.0,9.49,4.6,
1605,華新,92/11/06,3,15844345000.0,100000000.0,8.5,11.00,2003-11-07,2004-01-06,Y,100000000.0,100000000.0,100.0,1042954753.0,10.43,2.97,
2323,中環,92/11/06,1,22924496000.0,20000000.0,25.0,27.50,2003-11-07,2003-12-06,Y,20000000.0,20000000.0,100.0,532877773.0,26.64,0.63,
1225,福懋油,92/11/12,3,91732000.0,18678000.0,3.29,7.08,2003-11-13,2004-01-12,Y,9577000.0,9577000.0,51.27,49998660.0,5.22,5.13,股價穩定，已達到維護股東權益之目的。
3057,喬鼎,92/11/12,1,538449447.0,5000000.0,45.0,65.00,2003-11-13,2004-01-12,Y,1000000.0,1000000.0,20.0,45873943.0,45.87,0.96,考量買回期間維持股價穩定，且顧及股東權益，故未全部執行完畢。
6128,上福,92/11/17,3,483409000.0,2500000.0,28.0,42.00,2003-11-18,2004-01-17,Y,2500000.0,2500000.0,100.0,90188600.0,36.08,3.72,
2323,中環,92/11/20,1,22924496000.0,30000000.0,25.0,27.00,2003-11-21,2003-12-20,Y,19971000.0,19971000.0,66.57,513891772.0,25.73,0.63,股價波動使買單未能撮合成交
2353,宏碁,92/11/21,3,18467109000.0,40000000.0,40.0,52.00,2003-11-24,2004-01-23,Y,19373000.0,19373000.0,48.43,951886865.0,49.13,0.94,因市價高於庫藏股買回價格
1515,力山,92/11/24,1,511286829.0,15000000.0,8.26,15.00,2003-11-27,2004-01-24,Y,14879000.0,14879000.0,99.19,179767765.0,12.08,5.9,"依市場狀況及維持穩定股價,進行買回,受價量因素,致仍未全數執行?"
2344,華邦電,92/11/24,1,16896818000.0,80000000.0,13.0,16.00,2003-11-25,2004-01-16,Y,39000000.0,39000000.0,48.75,602506860.0,15.45,0.88,買回期間僅17個交易日之開盤最高最低及收盤價均落在買回區間價格
2345,智邦,92/12/01,1,2840057000.0,40000000.0,20.0,35.00,2003-12-02,2004-02-01,Y,40000000.0,40000000.0,100.0,1020734800.0,25.52,6.84,
2891,中信金,92/12/01,1,36428173425.0,100000000.0,25.0,40.00,2003-12-02,2004-02-01,Y,9315000.0,9315000.0,9.32,319196390.0,34.27,0.14,買回期間股價穩定，並為顧及股東權益
2379,瑞昱,92/12/05,2,11127208050.0,8606000.0,44.1,97.50,2003-12-08,2004-02-07,Y,8606000.0,8606000.0,100.0,524001000.0,60.89,1.32,
2816,旺旺保,92/12/09,1,951933000.0,2000000.0,9.0,15.00,2003-12-10,2004-02-09,Y,1760000.0,1760000.0,88.0,19118312.0,10.86,0.31,市場量能不足
6005,群益證,92/12/10,1,5527539092.0,35000000.0,8.0,15.00,2003-12-11,2004-02-10,Y,28009000.0,28009000.0,80.03,338423831.0,12.08,2.05,因股價已大幅回升，為顧及本公司及子公司員工未來認股意願。
2352,佳世達,92/12/15,3,21208175000.0,30000000.0,40.0,45.00,2003-12-16,2004-02-15,Y,30000000.0,30000000.0,100.0,1256063300.0,41.87,1.44,
2911,麗嬰房,92/12/16,1,316444291.0,3000000.0,6.44,13.98,2003-12-17,2004-02-16,Y,3000000.0,3000000.0,100.0,28267441.0,9.42,2.63,
9929,秋雨,92/12/19,1,43872000.0,5000000.0,6.0,8.50,2003-12-22,2004-02-21,Y,0.0,,0.0,0.0,0.00,0.0,因本次買回係考量轉讓員工，故以逢低買進為原則，但股價在買回期
1605,華新,93/01/07,3,15844345000.0,100000000.0,11.8,12.80,2004-01-08,2004-03-07,Y,91576000.0,91576000.0,91.58,1163644973.0,12.71,2.8,"本次執行期間內,因本公司股價高於買回價格之上限,以致無法全數買"
3004,豐達科,93/01/12,2,974571000.0,5000000.0,20.5,40.30,2004-01-13,2004-03-12,Y,0.0,0.0,0.0,0.0,0.00,0.0,依證期會台財證三字第0930101798號函指示辦理
3036,文曄,93/01/29,1,1750068485.0,3000000.0,22.2,47.40,2004-01-30,2004-03-29,Y,3000000.0,3000000.0,100.0,101467730.0,33.82,2.49,
3005,神基,93/02/05,1,952116726.0,5000000.0,16.0,17.20,2004-02-06,2004-04-05,Y,5000000.0,5000000.0,100.0,84874874.0,16.97,2.02,
2323,中環,93/02/13,1,22924496000.0,20000000.0,25.5,27.00,2004-02-16,2004-03-15,Y,11600000.0,11600000.0,58.0,308387360.0,26.59,0.36,買回期間本公司股價己維持穩定故未執行完畢
3032,偉訓,93/02/16,1,378483415.0,2500000.0,12.1,25.70,2004-02-17,2004-04-16,Y,1660000.0,1660000.0,66.4,28221150.0,17.00,1.93,買回期間股價穩定，並為顧及股東權益故未予以全部執行完畢。
2390,云辰,93/02/17,2,715010649.0,2500000.0,12.0,16.00,2004-02-18,2004-04-16,Y,2500000.0,2500000.0,100.0,34195202.0,13.68,0.82,
2852,第一保,93/02/17,1,313135000.0,3000000.0,17.0,23.00,2004-02-18,2004-04-17,Y,1000000.0,1000000.0,33.33,22221815.0,22.22,0.48,"股價已超過本公司買回之區間價格上限,致未能執行完畢"
2467,志聖,93/03/02,1,288131000.0,2000000.0,18.0,24.00,2004-03-03,2004-04-30,Y,2000000.0,2000000.0,100.0,40520772.0,20.26,2.46,
2390,云辰,93/03/03,3,715010649.0,6000000.0,12.0,16.00,2004-03-04,2004-05-03,Y,6000000.0,6000000.0,100.0,78433811.0,13.07,1.96,
3002,歐格,93/03/10,1,140868000.0,4000000.0,24.0,35.00,2004-03-11,2004-05-10,Y,4000000.0,4000000.0,100.0,109118255.0,27.28,5.87,
2456,奇力新,93/03/11,1,241571677.0,5000000.0,20.0,26.00,2004-03-12,2004-05-10,Y,4520000.0,4520000.0,90.4,100054934.0,22.14,4.4,因執行期間股價回穩，為顧及員工未來認購意願，故未完全執行完畢
2323,中環,93/03/15,3,14368472000.0,30000000.0,27.0,30.00,2004-03-16,2004-04-15,Y,28218000.0,28218000.0,94.06,773125737.0,27.40,0.87,買回期間本公司股價己維持穩定故未執行完畢
2397,友通,93/03/15,3,1428398000.0,3000000.0,13.0,27.50,2004-03-17,2004-05-16,Y,2850000.0,2850000.0,95.0,50086500.0,17.57,2.44,"預定屆滿日適逢假日無法交易,故執行僅達95%"
1539,巨庭,93/03/18,1,262859000.0,2000000.0,13.0,18.00,2004-03-19,2004-05-18,Y,410000.0,410000.0,20.5,5901833.0,14.39,0.63,
1515,力山,93/03/19,1,511286829.0,10000000.0,10.11,20.00,2004-03-22,2004-05-20,Y,8547000.0,8547000.0,85.47,105927066.0,12.39,3.39,依市場狀況及維持穩定股價，進行買回，受價量因素，致期限屆滿仍
2316,楠梓電,93/03/19,1,2249379688.0,5000000.0,17.0,23.00,2004-03-22,2004-05-21,Y,2176000.0,2176000.0,43.52,47889230.0,22.01,0.51,考量買回期間股價維持穩定，且顧及本公司股東權益及員工未來認股
2489,瑞軒,93/03/19,1,2287859000.0,10000000.0,25.0,40.00,2004-03-22,2004-05-21,Y,8000000.0,8000000.0,80.0,243410150.0,30.43,2.08,"執行比率已達80%,因執行期間股價回穩,故未執行完畢."
1720,生達,93/03/22,1,315036159.0,500000.0,17.0,25.00,2004-03-23,2004-05-22,Y,500000.0,500000.0,100.0,8958642.0,17.92,0.4,
2353,宏碁,93/03/22,3,18467109000.0,50000000.0,34.2,79.00,2004-03-23,2004-05-22,Y,50000000.0,50000000.0,100.0,2468148463.0,49.36,2.43,
2374,佳能,93/03/22,1,1054406980.0,20000000.0,24.0,38.00,2004-03-23,2004-05-22,Y,8832000.0,8832000.0,44.16,249599627.0,28.26,2.99,因股市不穩定，政治及經濟狀況多變，故本公司策略趨於保守。
1605,華新,93/03/23,3,16539097000.0,100000000.0,14.0,16.50,2004-03-24,2004-05-23,Y,96255000.0,96255000.0,96.26,1488069497.0,15.46,2.95,本次執行期間，因股價上下波動、限時、限量、限價掛進買單，致部
2303,聯電,93/03/23,1,47667535000.0,360000000.0,19.6,47.50,2004-03-24,2004-05-23,Y,192067000.0,192067000.0,53.35,5199592987.0,27.07,1.19,為兼顧協調市場機制，有效資金運用，同時維護股東權益，故本次庫
2330,台積電,93/03/23,3,83615002000.0,300000000.0,38.5,95.00,2004-03-24,2004-05-23,Y,124720000.0,124720000.0,41.57,7059797818.0,56.61,0.62,"為維護整體股東權益,本公司視股價變化採取分批買回策略。執行率4"
2332,友訊,93/03/23,3,4623419000.0,25000000.0,25.7,45.00,2004-03-24,2004-05-23,Y,10554000.0,10554000.0,42.22,412730457.0,39.11,2.03,"因考量買回期間股價維持穩定,並為顧及本公司股東權益"
2349,錸德,93/03/23,1,38197351000.0,30000000.0,19.0,25.00,2004-03-24,2004-05-23,Y,30000000.0,30000000.0,100.0,638829900.0,21.29,1.43,
2390,云辰,93/03/23,3,715010649.0,4000000.0,12.0,16.00,2004-03-24,2004-05-21,Y,4000000.0,4000000.0,100.0,48097483.0,12.02,1.31,
2417,圓剛,93/03/23,1,547517430.0,3000000.0,25.9,40.33,2004-03-23,2004-05-22,Y,3000000.0,3000000.0,100.0,104191100.0,34.73,2.53,
2436,偉詮電,93/03/23,1,827482084.0,10815000.0,15.4,39.40,2004-03-24,2004-05-23,Y,10815000.0,10815000.0,100.0,274783057.0,25.41,5.0,
2855,統一證,93/03/23,3,4206708000.0,50000000.0,12.25,17.00,2004-03-24,2004-04-23,Y,174000.0,174000.0,0.35,2905800.0,16.70,0.02,價格未能到達買回區間
2855,統一證,93/03/23,1,4206708000.0,15000000.0,12.25,16.00,2004-04-24,2004-05-23,Y,4637000.0,4637000.0,30.91,66380800.0,14.32,0.41,買回期間，因股價波動及限時限價限量掛單之故，致使部份買單未能
2886,兆豐金,93/03/23,1,71191748000.0,500000000.0,16.0,27.00,2004-03-24,2004-05-23,Y,110023000.0,110023000.0,22.0,2431355286.0,22.10,0.97,"因執行期間股價維持穩定,故未全部執行完畢"
3028,增你強,93/03/23,1,1019258183.0,2000000.0,17.9,28.00,2004-03-24,2004-05-23,Y,2000000.0,2000000.0,100.0,52432693.0,26.22,1.98,
3033,威健,93/03/23,1,791946974.0,5000000.0,14.5,36.00,2004-03-24,2004-05-23,Y,5000000.0,5000000.0,100.0,113980431.0,22.80,4.16,
4532,瑞智,93/03/23,1,493605000.0,10000000.0,14.0,26.00,2004-03-24,2004-05-23,Y,7860000.0,7860000.0,78.6,148659981.0,18.91,3.79,
1313,聯成,93/03/24,1,1242688000.0,10000000.0,10.0,12.00,2004-03-25,2004-05-24,Y,7612000.0,7612000.0,76.12,84559976.0,11.11,1.05,預定買回期間僅有少數交易日落在買回區間價格可予執行，隨後因股
1604,聲寶,93/03/24,1,1901348000.0,20000000.0,10.0,20.00,2004-03-25,2004-04-25,Y,0.0,0.0,0.0,0.0,0.00,0.0,因執行期間股價均高於淨值，為維護股東及員工之最大權益，故未執
2338,光罩,93/03/24,3,1233516010.0,29700000.0,13.0,18.00,2004-03-25,2004-05-24,Y,18738000.0,18738000.0,63.09,331034595.0,17.67,4.69,股價大於預計買回區間價格
2360,致茂,93/03/24,1,1032885000.0,5000000.0,21.0,39.00,2004-03-25,2004-04-24,Y,2305000.0,2305000.0,46.1,78134153.0,33.90,0.91,考量買回期間股價維持穩定並為顧及本公司股東權益及員工未來認股
2373,震旦行,93/03/24,1,1570826000.0,15000000.0,14.0,27.00,2004-03-25,2004-05-24,Y,15000000.0,15000000.0,100.0,307810057.0,20.52,4.26,
2376,技嘉,93/03/24,3,12469648535.0,30000000.0,38.5,92.00,2004-03-25,2004-05-05,Y,11601000.0,11601000.0,38.67,702725500.0,60.57,1.96,買回期間股價維持穩定，已達到為維護本公司信用及股東權益之目的
2468,華經,93/03/24,3,154670471.0,1000000.0,7.55,13.50,2004-03-25,2004-05-24,Y,579000.0,579000.0,57.9,6501750.0,11.23,0.84,"股價較預期穩定,為長期資金之規劃，故未全部執行完畢。"
2890,永豐金,93/03/24,1,8703881201.0,50000000.0,12.11,20.00,2004-03-25,2004-05-24,Y,19649000.0,19649000.0,39.3,333972879.0,17.00,0.52,考量執行期間股市行情變動較預期穩定，致未能執行完畢
2908,特力,93/03/24,1,1161898000.0,10000000.0,19.0,25.00,2004-03-26,2004-05-25,Y,10000000.0,10000000.0,100.0,208562936.0,20.86,2.7,
3035,智原,93/03/24,1,1249131000.0,5000000.0,52.5,125.50,2004-03-25,2004-05-24,Y,2630000.0,2630000.0,52.6,190839477.0,72.56,1.19,為顧及本公司股東權益及員工未來認股意願，故未予以全部執行完畢
3037,欣興,93/03/24,1,4502727000.0,20000000.0,15.0,30.00,2004-03-25,2004-05-24,Y,10300000.0,10300000.0,51.5,217348797.0,21.10,1.27,為兼顧協調市場機制，有效資金運用，同時維護股東權益，故本次庫
3046,建碁,93/03/24,1,2369842621.0,5000000.0,23.0,45.00,2004-03-25,2004-05-24,Y,5000000.0,5000000.0,100.0,122668696.0,24.53,1.79,
5521,工信,93/03/24,1,37825000.0,3500000.0,5.5,10.00,2004-03-25,2004-04-25,Y,3500000.0,3500000.0,100.0,29892162.0,8.54,2.16,
1909,榮成,93/03/25,1,974792000.0,8000000.0,10.0,16.00,2004-03-26,2004-05-25,Y,1000000.0,1000000.0,12.5,10141777.0,10.14,0.2,買回期間股價維持穩定，且顧及股東權益及員工認股意願
2388,威盛,93/03/25,1,9167089000.0,10000000.0,25.2,63.20,2004-03-26,2004-05-25,Y,8336000.0,8336000.0,83.36,281149766.0,33.73,0.66,"為維護整體股東權益,視股價變化採取分批買回策略"
2911,麗嬰房,93/03/25,1,316444291.0,5000000.0,9.73,23.98,2004-03-26,2004-05-25,Y,2000000.0,2000000.0,40.0,27932985.0,13.97,1.75,為維護整體股東權益，本公司視股價變化採取分批買回策略。執行率
6165,捷泰,93/03/25,1,197025000.0,3000000.0,16.0,30.00,2004-03-26,2004-04-25,Y,3000000.0,3000000.0,100.0,71157236.0,23.72,3.77,
9904,寶成,93/03/25,1,14232581293.0,50000000.0,23.5,49.00,2004-03-26,2004-05-25,Y,31500000.0,31500000.0,63.0,1007843056.0,32.00,1.67,"為兼顧協調市場機制及維護股東權益,故本次庫藏股買回執行率為63%"
2206,三陽工業,93/03/26,1,825624000.0,40000000.0,8.0,19.00,2004-03-29,2004-05-28,Y,27024000.0,27024000.0,67.56,352409441.0,13.04,3.36,考量買回期間股價維持穩定，並為顧及本公司股東權益及員工未來認
2423,固緯,93/03/26,1,245627368.0,3000000.0,18.0,30.00,2004-03-29,2004-05-28,Y,1086000.0,1086000.0,36.2,23644091.0,21.77,1.3,執行期間股價平穩，並考量股東權益，故僅適量買進。
2433,互盛電,93/03/26,3,177524000.0,10000000.0,8.0,17.00,2004-03-29,2004-05-28,Y,10000000.0,10000000.0,100.0,119945643.0,11.99,5.72,
2471,資通,93/03/26,1,328728113.0,3400000.0,10.0,17.00,2004-03-27,2004-05-26,Y,1015000.0,1015000.0,29.85,14609550.0,14.39,1.9,"因股價遂漸回穩,並為顧及本公司股東權益,故未予執行完畢"
2472,立隆電,93/03/26,1,786099000.0,1000000.0,15.6,30.00,2004-03-29,2004-05-28,Y,1000000.0,1000000.0,100.0,16274954.0,16.27,0.72,
2482,連宇,93/03/26,3,123661000.0,5000000.0,14.5,24.50,2004-03-29,2004-05-28,Y,2654000.0,2654000.0,53.08,61076000.0,23.01,4.62,股市市況未如預期
